#,Title,Category,Language,Type,URL,Watched?,Notes
679,Tammy Franklin's Reaction To Kirk Franklin's Addiction To Pornography - Uncensored,Interviews / Street,English,Video,https://www.youtube.com/watch?v=Wsr9ZrKDRxo,,
680,Porn Addict interview - Gerard (Soft White Underbelly),Interviews / Street,English,Video,https://www.youtube.com/watch?v=rv6zS4peHIc,,
681,When A Former Porn Star Interviews A Former Porn Addict,Interviews / Street,English,Video,https://www.youtube.com/watch?v=OVq5NSfrgAQ,,
682,Street interview - Ladies Said They're Allowed To Have Fun Despite Their Addiction,Interviews / Street,English,Video,https://www.youtube.com/watch?v=ij40ZXi4_bo,,
683,Interview with a Mindful Porn Addict,Interviews / Street,English,Video,https://www.youtube.com/watch?v=NYO91h5Tg0A,,
684,Understanding Porn Addiction & How to Escape it,Interviews / Street,English,Video,https://www.youtube.com/watch?v=aI2NkSvSx64,,
685,Sex Addict interview - Diamond (Soft White Underbelly),Interviews / Street,English,Video,https://www.youtube.com/watch?v=E6w1ZhKv2SA,,
686,Soft White Underbelly (channel),Interviews / Street,English,Channel,https://www.youtube.com/@SoftWhiteUnderbelly,,
687,"The Royalty Interview - Prostitution, Soft White Underbelly, Meth Addiction & More",Interviews / Street,English,Video,https://www.youtube.com/watch?v=PVcBMLPUyDg,,
688,Sex Addict interview - Drew (Soft White Underbelly),Interviews / Street,English,Video,https://www.youtube.com/watch?v=8ILMfFDbHQQ,,
689,Nymphomaniac interview - Jessica (Soft White Underbelly),Interviews / Street,English,Video,https://www.youtube.com/watch?v=UlDpksOEVzQ,,
690,"Overcoming Sexual Addiction, Porn, Masturbation, and Intimacy Anorexia",Intimacy Anorexia / Attachment,English,Video,https://www.youtube.com/watch?v=ILzcYV8v2bE,,
691,Why Avoidant Men Choose Porn Over Intimacy (And How to Help),Intimacy Anorexia / Attachment,English,Video,https://www.youtube.com/watch?v=BtZDVZ2K2-o,,
692,Sexual Addiction & Intimacy Anorexia Success Story - Heart to Heart Counseling Center,Intimacy Anorexia / Attachment,English,Video,https://www.youtube.com/watch?v=65G5KLssZhQ,,
693,Intimacy Anorexia Episode One - Daystar with Dr. Doug Weiss,Intimacy Anorexia / Attachment,English,Video,https://www.youtube.com/watch?v=SK_oiPapUxI,,
694,4 passi per SMETTERLA con la PORNOGRAFIA,Italian,Italian,Video,https://www.youtube.com/watch?v=VQdt1UEgekU,,
695,Come Smettere di Guardare Porno (GUIDA COMPLETA),Italian,Italian,Video,https://www.youtube.com/watch?v=8e_WA5WsH8o,,
696,Dipendenza pornografia - la mia esperienza per gestirla,Italian,Italian,Video,https://www.youtube.com/watch?v=X4Uj_xe92xE,,
