#,Title,Category,Language,Type,URL,Video / Playlist ID,Watched?,Rating,Notes
1,The Great Porn Experiment | Gary Wilson | TEDxGlasgow,TED / TEDx,English,Video,https://www.youtube.com/watch?v=wSF82AwSDiU,wSF82AwSDiU,,,
2,Pornography Isn't Your Problem | Jason Mahr | TEDxCincinnati,TED / TEDx,English,Video,https://www.youtube.com/watch?v=vIgWMzdgweI,vIgWMzdgweI,,,
3,Why I stopped watching porn | Ran Gavrieli | TEDxJaffa,TED / TEDx,English,Video,https://www.youtube.com/watch?v=gRJ_QfP2mhU,gRJ_QfP2mhU,,,
4,Changing the narrative around the addiction story | Cameron Staley | TEDxIdahoStateUniversity,TED / TEDx,English,Video,https://www.youtube.com/watch?v=mNGg5SMcyhI,mNGg5SMcyhI,,,
5,Escaping Porn Addiction | Eli Nash | TEDxFortWayne,TED / TEDx,English,Video,https://www.youtube.com/watch?v=dbYWKVAeu6Y,dbYWKVAeu6Y,,,
6,Let's Talk Porn | Maria Ahlin | TEDxGoteborg,TED / TEDx,English,Video,https://www.youtube.com/watch?v=DBTb71UzPmY,DBTb71UzPmY,,,
7,Why we need to talk about porn | Jo Robertson | TEDxChristchurch,TED / TEDx,English,Video,https://www.youtube.com/watch?v=TCY2dOf2eMs,TCY2dOf2eMs,,,
8,Healing Addictive Behaviors: My Porn Story | David Norwell | TEDxSurrey,TED / TEDx,English,Video,https://www.youtube.com/watch?v=HcbUgEB5A98,HcbUgEB5A98,,,
9,How porn is destroying young men | Gary Wilson (Key Points Talk),TED / TEDx,English,Video,https://www.youtube.com/watch?v=3adhnLRoxig,3adhnLRoxig,,,
10,"Rethinking Porn: Why Shame, Not Sex, Is the Problem | Paulita Pappel | TEDxMunchen",TED / TEDx,English,Video,https://www.youtube.com/watch?v=1mrUIt8CDfI,1mrUIt8CDfI,,,
11,Porn The New Tobacco | Jack Fischer | TEDxBinghamtonUniversity,TED / TEDx,English,Video,https://www.youtube.com/watch?v=M9pPgIraoOM,M9pPgIraoOM,,,
12,6 Dangerous Stages of Porn Addiction,General / Overview,English,Video,https://www.youtube.com/watch?v=w_eG8ulIYug,w_eG8ulIYug,,,
13,How to Overcome Porn Addiction,General / Overview,English,Video,https://www.youtube.com/watch?v=8Gqb2vhQmxI,8Gqb2vhQmxI,,,
14,Pornography Addiction and Treatment Strategies,General / Overview,English,Playlist,https://www.youtube.com/playlist?list=PLcB3trehXswg3yz_CGjlkGGDM3FDFb2OZ,PLcB3trehXswg3yz_CGjlkGGDM3FDFb2OZ,,,
15,Breaking the Cycle of Pornography (Porn) Addiction,General / Overview,English,Video,https://www.youtube.com/watch?v=F0w_7_96CJc,F0w_7_96CJc,,,
16,Urologist Explains how to break the cycle of porn addiction,General / Overview,English,Video,https://www.youtube.com/watch?v=E0AZMtVTIjk,E0AZMtVTIjk,,,
17,THIS VIDEO WILL END YOUR PORN ADDICTION (Breaking Free From Addiction),General / Overview,English,Video,https://www.youtube.com/watch?v=r6x7BBXyUJc,r6x7BBXyUJc,,,
18,How to Stop Porn Addiction (Never Relapse Again),General / Overview,English,Video,https://www.youtube.com/watch?v=s4tJmFL20Us,s4tJmFL20Us,,,
19,Am I Addicted to Porn? What is Porn Addiction?,General / Overview,English,Video,https://www.youtube.com/watch?v=3WOT4NWEFdU,3WOT4NWEFdU,,,
20,Quit Porn & Rewire Your Brain In ONLY 16 Weeks | NoFap Reboot,NoFap / Reboot,English,Video,https://www.youtube.com/watch?v=KiGRlQocxow,KiGRlQocxow,,,
21,The 2 STEP PROCESS To Quit Porn & Reboot Your Brain | NOFAP SUCCESS,NoFap / Reboot,English,Video,https://www.youtube.com/watch?v=16-UQy3K5rE,16-UQy3K5rE,,,
22,CHANGE YOUR BELIEFS To Quit Porn & Reboot Your Brain | NOFAP SUCCESS,NoFap / Reboot,English,Video,https://www.youtube.com/watch?v=UU5YVFCoyI8,UU5YVFCoyI8,,,
23,7 Things You Can Do To SPEED UP NoFap Recovery | NoFap Reboot Faster,NoFap / Reboot,English,Video,https://www.youtube.com/watch?v=F6XFssY_bvc,F6XFssY_bvc,,,
24,How much does a relapse set back your porn reboot?,NoFap / Reboot,English,Video,https://www.youtube.com/watch?v=H2f3oaJfkLk,H2f3oaJfkLk,,,
25,Porn Reboot NoFap Flatline: How to Make NoFap Better with Dr. Trish Leigh,NoFap / Reboot,English,Video,https://www.youtube.com/watch?v=w7gyTwfO9QU,w7gyTwfO9QU,,,
26,How To SPEED UP Your Porn Reboot With ONE DAILY HABIT,NoFap / Reboot,English,Video,https://www.youtube.com/watch?v=mv9lDQdI08Q,mv9lDQdI08Q,,,
27,3 Tips To RECOVER From A PMO RELAPSE | NoFap FAILED Again,NoFap / Reboot,English,Video,https://www.youtube.com/watch?v=giasef0M1Bk,giasef0M1Bk,,,
28,How long will it take to reboot my brain from porn?,NoFap / Reboot,English,Video,https://www.youtube.com/watch?v=ODx7aYIDIm8,ODx7aYIDIm8,,,
29,What Can Happen If You DON'T QUIT PORN & REBOOT YOUR BRAIN (NOFAP FAIL),NoFap / Reboot,English,Video,https://www.youtube.com/watch?v=s44HF3dKSx0,s44HF3dKSx0,,,
30,NoFap's Alexander Rhodes explains how porn addiction is impacting a generation,NoFap / Reboot,English,Video,https://www.youtube.com/watch?v=eot_61u43Gc,eot_61u43Gc,,,
31,Your Brain Rebalanced Radio S02E05: Alex Rhodes (NoFap founder) and Mark Queppet,NoFap / Reboot,English,Video,https://www.youtube.com/watch?v=AGHex1jgshs,AGHex1jgshs,,,
32,Alexander Rhodes (playlist),NoFap / Reboot,English,Playlist,https://www.youtube.com/playlist?list=PL7aTMa-qEZRLr7HliULP8J_Ek2gM-i_AM,PL7aTMa-qEZRLr7HliULP8J_Ek2gM-i_AM,,,
33,Porn Addiction Coach - Noah Church,NoFap / Reboot,English,Video,https://www.youtube.com/watch?v=MmuDe_Og37g,MmuDe_Og37g,,,
34,How & Why To Stop Watching Porn with Noah B.E. Church,NoFap / Reboot,English,Video,https://www.youtube.com/watch?v=EMmcuHbWFWg,EMmcuHbWFWg,,,
35,"Noah B.E. Church Interview, Author of 'Wack: Addicted to Internet Porn'",NoFap / Reboot,English,Video,https://www.youtube.com/watch?v=wcgJeI7BQcg,wcgJeI7BQcg,,,
