#,Title,Category,URL,Comment,Posted?
1,The Great Porn Experiment | Gary Wilson | TEDxGlasgow,TED / TEDx,https://www.youtube.com/watch?v=wSF82AwSDiU,"Worth knowing before you watch: TED attached a note to this one saying some claims aren't well supported by the medical literature. Doesn't make it worthless, it's the talk that got a lot of people thinking about this at all, but treat it as a starting point rather than settled science. If a specific claim here matters to you, go look up the study behind it.",
2,Pornography Isn't Your Problem | Jason Mahr | TEDxCincinnati,TED / TEDx,https://www.youtube.com/watch?v=vIgWMzdgweI,"The reframe is the useful part. If porn is the coping mechanism rather than the problem, the question stops being ""how do I resist harder"" and becomes ""what am I coping with."" Practical version: for a week, don't try to quit, just write down what you were feeling in the ten minutes BEFORE, not during. The pattern usually shows up fast.",
3,Why I stopped watching porn | Ran Gavrieli | TEDxJaffa,TED / TEDx,https://www.youtube.com/watch?v=gRJ_QfP2mhU,"Fair warning that this is more an ethics-and-values talk than a how-to. He's making an argument about what porn does to how we see people, not handing you a quitting method. Useful for the ""why"" if your motivation keeps evaporating, but pair it with something practical.",
4,Changing the narrative around the addiction story | Cameron Staley | TEDxIdahoStateUniversity,TED / TEDx,https://www.youtube.com/watch?v=mNGg5SMcyhI,"This is essentially ACT applied to compulsive behaviour, and the distinction he draws matters: moving toward something you value holds up better than moving away from something you hate about yourself. Shame-driven streaks tend to snap. Values-driven ones bend.",
5,Escaping Porn Addiction | Eli Nash | TEDxFortWayne,TED / TEDx,https://www.youtube.com/watch?v=dbYWKVAeu6Y,"The thing he lands on is the thing most people skip. Secrecy is load-bearing here, and it stays load-bearing until you tell one actual human being. Not the internet, not a comment section, one person who knows your name. That single conversation does more than most apps.",
6,Let's Talk Porn | Maria Ahlin | TEDxGoteborg,TED / TEDx,https://www.youtube.com/watch?v=DBTb71UzPmY,"Useful one for parents and teachers specifically. It's about porn as a cultural and educational problem rather than an individual's habit, so if you came looking for personal recovery steps this isn't that, but it's a good primer on what kids are actually walking into.",
7,Why we need to talk about porn | Jo Robertson | TEDxChristchurch,TED / TEDx,https://www.youtube.com/watch?v=TCY2dOf2eMs,"She works in this professionally in New Zealand and it shows. Good one to send to a parent who wants to have the conversation but has no idea how to open it. The core point is that silence isn't neutral, kids just fill the gap with whatever they find.",
8,Healing Addictive Behaviors: My Porn Story | David Norwell | TEDxSurrey,TED / TEDx,https://www.youtube.com/watch?v=HcbUgEB5A98,"This is a personal story rather than a method, which is worth knowing going in. Stories are genuinely useful for the ""I'm not the only one"" part, which is not nothing. But if you're trying to actually change something this week, watch it and then go find something structured.",
9,How porn is destroying young men | Gary Wilson (Key Points Talk),TED / TEDx,https://www.youtube.com/watch?v=3adhnLRoxig,"Heads up that the framing is strong and the underlying science is contested. There are researchers who'd push back hard on the ""destroying"" part. Watch it, then watch someone who disagrees, and notice which one is arguing from evidence and which from certainty. That's a useful skill in this whole genre.",
10,"Rethinking Porn: Why Shame, Not Sex, Is the Problem | Paulita Pappel | TEDxMunchen",TED / TEDx,https://www.youtube.com/watch?v=1mrUIt8CDfI,"Genuinely valuable as a counterweight to most of what's in this space. Her argument is that distress often comes from the conflict between the behaviour and your beliefs rather than the behaviour itself. You don't have to agree with all of it, but if shame is the loudest part of your experience, this is worth sitting with.",
11,Porn The New Tobacco | Jack Fischer | TEDxBinghamtonUniversity,TED / TEDx,https://www.youtube.com/watch?v=M9pPgIraoOM,"The tobacco analogy is rhetorically strong but it does break down, and it's worth noticing where. Nicotine has a measurable physical dependency profile that this doesn't. That doesn't mean the behaviour isn't a problem for people, just that borrowed metaphors can smuggle in claims nobody has actually tested.",
12,We Need To Talk About Sex Addiction - Paula Hall - TEDxLeamingtonSpa,TED / TEDx,https://www.youtube.com/watch?v=-Qf2e3XZ8Tw,"Paula Hall is an actual clinician who treats this, which makes this one different from most talks in the genre. If a talk has convinced you that you want help but you don't know what ""help"" looks like, she's a good bridge to understanding what therapy for this actually involves.",
13,Growing Up in a Pornified Culture - Gail Dines - TEDxNavesink,TED / TEDx,https://www.youtube.com/watch?v=_YpHNImNsx8,"Worth setting expectations: this is a sociological and feminist critique of porn culture, not clinical advice about compulsive use. Two different conversations that get tangled a lot. Both are legitimate, but if you're here for help with your own habit, this isn't aimed at you.",
14,6 Dangerous Stages of Porn Addiction,General / Overview,https://www.youtube.com/watch?v=w_eG8ulIYug,"Stage models like this are useful as a map and unhelpful as a verdict. Most people don't move cleanly through numbered stages, and deciding you're at ""stage 5"" mostly just adds dread. Use it to notice direction of travel, not to diagnose yourself.",
15,How to Overcome Porn Addiction,General / Overview,https://www.youtube.com/watch?v=8Gqb2vhQmxI,"The five-step framing is fine, but the step people skip is the boring one: making it physically harder. Not because willpower is fake, but because willpower is a limited budget and you shouldn't spend it on a decision you could have removed entirely. Phone out of the bedroom does more than any mindset shift.",
16,Pornography Addiction and Treatment Strategies,General / Overview,https://www.youtube.com/playlist?list=PLcB3trehXswg3yz_CGjlkGGDM3FDFb2OZ,Good playlist if you want something structured rather than the algorithm handing you a random video whenever you're already struggling. That last part matters more than it sounds. Watching recovery content at 1am mid-urge is usually just a different way of staying in the loop.,
17,Breaking the Cycle of Pornography (Porn) Addiction,General / Overview,https://www.youtube.com/watch?v=F0w_7_96CJc,"One thing worth adding: the cycle described here usually has a quieter step before the obvious one. Boredom, or a small rejection, or being tired. If you only start paying attention at the urge, you're already very far downstream. The intervention point is earlier than it feels.",
18,Urologist Explains how to break the cycle of porn addiction,General / Overview,https://www.youtube.com/watch?v=E0AZMtVTIjk,"Useful to hear this framed medically rather than morally. A urologist talking about it as a functional issue tends to land differently for people who've tuned out the shame-based version entirely, which is a lot of people.",
19,THIS VIDEO WILL END YOUR PORN ADDICTION (Breaking Free From Addiction),General / Overview,https://www.youtube.com/watch?v=r6x7BBXyUJc,"No single video ends anything, and that's not a criticism of this one, it's just worth saying out loud. The realistic version is that a video can give you one idea you actually use. If you watch this and change nothing by tomorrow, the problem isn't that you need a better video.",
20,How to Stop Porn Addiction (Never Relapse Again),General / Overview,https://www.youtube.com/watch?v=s4tJmFL20Us,"""Never relapse again"" is a promise nobody can keep, so hold that part loosely. The useful frame is that relapse is data rather than verdict. What you do in the 48 hours afterwards matters far more than the slip itself.",
